,Baker,Age,Occupation,Hometown,Links
0,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,[5]
1,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",[6]
2,Danny (Daniele) Bryden,45,Intensive care consultant,Sheffield,[7]
3,James Morton,21,Medical student,"Hillswick, Shetland Islands",[8]
4,John Whaite,23,Law student,Wigan,[9]
5,Manisha Parmar,27,Nursery nurse,Leicester,
6,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire",
7,Peter Maloney,43,Sales manager,"Windsor, Berkshire",
8,Ryan Chong,38,Photographer,Bristol,[10]
9,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",[6]
10,Victoria Chester,50,CEO of the charity Plantlife,Somerset,[11]
11,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",[12]
