,Baker [1],Age,Occupation,Hometown,Links
0,Antony,30,Banker,London,
1,Briony,33,Full-time parent,Bristol,
2,Dan,36,Full-time parent,London,
3,Imelda,33,Countryside recreation officer,County Tyrone,
4,Jon,47,Blood courier,Newport,
5,Karen,60,In-store sampling assistant,West Yorkshire,
6,Kim-Joy,27,Mental health specialist,Leeds,
7,Luke,30,Civil servant/house and techno DJ,Sheffield,
8,Manon,26,Software project manager,London,[3]
9,Rahul,30,Research scientist,Rotherham,[4]
10,Ruby,29,Project manager,London,
11,Terry,56,Retired air steward,West Midlands,
