,Baker,Age,Occupation,Hometown
0,Ben Frazer,31,Graphic Designer,Northampton
1,Holly Bell,31,Advertising executive,Leicester
2,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
3,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
4,Jason White,19,Civil Engineering Student,Croydon
5,Joanne Wheatley,41,Housewife,"Ongar, Essex"
6,Keith Batsford,31,House husband,"Arlesey, Bedfordshire"
7,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire"
8,Robert Billington,25,Photographer,London
9,Simon Blackwell,31,Rugby Coach,Norfolk
10,Urvashi Roe,40,Head of Marketing,"Enfield, London"
11,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral"
